target,a,b,c,d,e,f
194,-10,3,1029,27.73,0,0
194,-10,4,1027,0.89,0,0
192,-10,6,1026,1.78,0,0
208,-10,5,1026,3.13,0,0
224,-9,5,1025,6.26,0,0
249,-9,4,1025,10.28,0,0
317,-9,4,1026,1.79,0,0
328,-9,0,1026,2.68,0,0
349,-9,-3,1026,3.57,0,0
327,-9,-4,1026,4.46,0,0
348,-7,-4,1025,5.35,0,0
363,-9,-5,1025,6.24,0,0
385,-9,-6,1025,6.69,0,0
393,-9,-4,1024,1.79,0,0
388,-8,-3,1024,3.13,0,0
444,-9,-3,1023,6.26,0,0
334,-9,-4,1022,9.39,0,0
284,-9,-4,1022,11.18,0,0
264,-9,-3,1022,14.31,0,0
221,-9,-4,1022,17.44,0,0
160,-9,-4,1022,1.79,0,0
160,-8,-1,1021,3.58,0,0
92,-10,4,1021,3.13,0,0
59,-11,7,1020,7.15,0,0
69,-12,7,1019,1.79,0,0
48,-13,8,1018,5.81,0,0
32,-13,9,1018,12.96,0,0
33,-14,8,1018,20.11,0,0
45,-13,8,1018,25.92,0,0
42,-13,7,1017,29.94,0,0
41,-13,6,1018,33.96,0,0
110,-13,6,1017,37.98,0,0
175,-13,3,1017,0.89,0,0
293,-13,1,1017,1.78,0,0
324,-10,2,1017,2.67,0,0
341,-10,-2,1017,3.12,0,0
362,-10,-4,1016,4.01,0,0
372,-10,-5,1016,4.9,0,0
373,-11,-5,1015,5.79,0,0
372,-11,-6,1015,6.68,0,0
318,-12,-7,1014,7.57,0,0
188,-12,-7,1014,8.46,0,0
171,-13,-8,1014,1.79,0,0
136,-12,-7,1014,4.92,0,0
124,-12,-6,1014,0.89,0,0
141,-10,-2,1014,1.78,0,0
132,-11,3,1014,2.67,0,0
134,-11,5,1014,3.56,0,0
56,-12,9,1013,3.13,0,0
48,-13,11,1012,10.28,0,0
27,-14,11,1011,17.43,0,0
28,-14,11,1011,25.48,0,0
20,-15,11,1011,32.63,0,0
22,-15,10,1012,36.65,0,0
120,-15,6,1013,0.89,0,0
109,-14,3,1013,1.78,0,0
112,-12,1,1014,2.67,0,0
128,-13,0,1015,3.12,0,0
164,-12,-3,1015,3.13,0,0
159,-12,-3,1016,1.79,0,0
189,-12,-2,1016,0.89,0,0
97,-13,-2,1016,1.79,0,0
81,-13,-4,1016,5.81,0,0
28,-13,-2,1017,10.73,0,0
25,-13,-5,1017,15.65,0,0
9,-13,-3,1017,19.67,0,0
9,-14,-2,1017,22.8,0,0
13,-13,-3,1018,0.89,0,0
17,-15,0,1019,1.78,0,0
16,-13,2,1020,1.79,0,0
25,-14,5,1020,1.79,0,0
48,-15,6,1020,1.79,0,0
49,-15,7,1019,3.58,0,0
73,-15,6,1018,6.71,0,0
65,-14,6,1018,9.84,0,0
55,-14,6,1017,11.63,0,0
60,-14,6,1018,0.89,0,0
63,-14,5,1019,1.79,0,0
79,-13,2,1020,3.58,0,0
35,-8,6,1021,5.81,0,0
26,-11,5,1022,12.96,0,0
20,-12,4,1023,21.9,0,0
8,-21,2,1025,31.73,0,0
16,-22,0,1026,38.88,0,0
10,-19,-1,1027,51.84,0,0
11,-18,-1,1028,61.67,0,0
20,-17,-1,1028,70.61,0,0
9,-17,-1,1029,81.79,0,0
8,-19,-2,1030,94.75,0,0
9,-21,-3,1030,109.95,0,0
8,-23,-4,1032,130.07,0,0
8,-22,-5,1034,143.03,0,0
8,-22,-5,1034,150.18,0,0
8,-22,-3,1034,155.99,0,0
7,-22,-2,1034,163.14,0,0
12,-22,-2,1034,170.29,0,0
17,-22,0,1033,177.44,0,0
11,-27,0,1032,186.38,0,0
9,-27,1,1032,196.21,0,0
11,-26,1,1032,205.15,0,0
8,-23,0,1032,214.09,0,0
9,-22,-1,1033,221.24,0,0
10,-22,-2,1033,226.16,0,0
8,-23,-2,1034,231.97,0,0
10,-22,-3,1034,237.78,0,0
10,-22,-3,1034,242.7,0,0
8,-22,-4,1034,246.72,0,0
12,-21,-3,1034,249.85,0,0
