a,b,c,d,e,f,g,h,i,j,target
13.46,197176,0,0,1,0,1,0,0,1,3.49
23.73,142000,3,0,0,1,0,1,1,0,2.5
92.6,78000,0,0,1,0,1,0,0,1,35
13.74,56000,0,0,0,1,1,0,0,1,5.9
6.05,47000,0,0,0,1,1,0,0,1,3.45
6.76,40000,0,0,0,1,1,0,0,1,4.75
18.61,62000,0,0,0,1,1,0,0,1,3.8
16.09,58242,0,0,1,0,1,0,0,1,11.25
13.7,75000,0,0,0,1,1,0,0,1,3.51
30.61,40000,0,0,1,0,1,0,1,0,23
22.78,89000,0,0,0,1,1,0,1,0,4
18.61,72000,0,0,0,1,1,0,0,1,5.85
25.39,29000,0,0,1,0,1,0,1,0,20.75
18.64,8700,0,0,0,1,1,0,0,1,17
18.61,45000,0,0,0,1,1,0,0,1,7.05
20.45,50024,0,0,1,0,1,0,0,1,9.65
1.9,3000,0,0,0,1,0,1,0,1,1.75
1.82,1400,0,0,0,1,0,1,0,1,1.7
1.78,4000,0,0,0,1,0,1,0,1,1.65
1.6,1200,0,0,0,1,0,1,0,1,1.45
1.47,4100,0,0,0,1,0,1,0,1,1.35
2.37,21700,0,0,0,1,0,1,0,1,1.35
3.45,16500,1,0,0,1,0,1,0,1,1.35
1.5,15000,0,0,0,1,0,1,0,1,1.25
1.5,18000,0,0,0,1,0,1,0,1,1.2
1.47,11000,0,0,0,1,0,1,0,1,1.2
1.78,6000,0,0,0,1,0,1,0,1,1.2
1.5,8700,0,0,0,1,0,1,0,1,1.15
2.4,7000,0,0,0,1,0,1,0,1,1.15
1.4,35000,0,0,0,1,0,1,0,1,1.15
1.47,17000,0,0,0,1,0,1,0,1,1.15
1.47,17500,0,0,0,1,0,1,0,1,1.11
1.47,33000,0,0,0,1,0,1,0,1,1.1
1.9,14000,0,0,0,1,0,1,0,1,1.1
1.47,26000,0,0,0,1,0,1,0,1,1.1
1.9,5400,0,0,0,1,0,1,0,1,1.05
1.26,5700,0,0,0,1,0,1,0,1,1.05
1.5,6900,0,0,0,1,0,1,0,1,1.05
1.17,6000,0,0,0,1,0,1,0,1,1.05
1.47,46500,0,0,0,1,0,1,0,1,1
1.75,11500,0,0,0,1,0,1,0,1,0.95
1.75,40000,0,0,0,1,0,1,0,1,0.9
0.95,1300,0,0,0,1,0,1,0,1,0.9
0.8,7000,0,0,0,1,0,1,0,1,0.75
0.87,3000,0,0,0,1,0,1,0,1,0.8
0.84,5000,0,0,0,1,0,1,0,1,0.78
0.87,11000,0,0,0,1,0,1,0,1,0.75
0.82,18000,0,0,0,1,0,1,0,1,0.75
0.95,3500,0,0,0,1,0,1,0,1,0.75
0.95,500,0,0,0,1,0,1,0,1,0.72
0.81,11800,0,0,0,1,0,1,0,1,0.65
0.74,5000,0,0,0,1,0,1,0,1,0.65
1.2,23500,0,0,0,1,0,1,0,1,0.65
0.787,16000,0,0,0,1,0,1,0,1,0.65
0.87,15000,0,0,0,1,0,1,0,1,0.6
0.95,16600,0,0,0,1,0,1,0,1,0.6
1.2,32000,0,0,0,1,0,1,0,1,0.6
0.8,20000,0,0,0,1,0,1,0,1,0.6
0.84,29000,0,0,0,1,0,1,0,1,0.6
0.84,25000,0,0,0,1,0,1,0,1,0.6
0.99,25000,0,0,0,1,0,1,0,1,0.6
0.81,19000,0,0,0,1,0,1,0,1,0.6
0.787,15000,0,0,0,1,0,1,0,1,0.55
0.84,58000,0,0,0,1,0,1,0,1,0.55
0.94,45000,0,0,0,1,0,1,0,1,0.52
0.94,24000,0,0,0,1,0,1,0,1,0.51
0.826,6000,0,0,0,1,0,1,0,1,0.5
0.55,31000,0,0,0,1,0,1,0,1,0.5
0.99,13000,0,0,0,1,0,1,0,1,0.5
0.99,45000,0,0,0,1,0,1,0,1,0.5
0.88,8000,0,0,0,1,0,1,0,1,0.5
0.51,4300,0,0,0,1,0,1,1,0,0.48
0.52,15000,0,0,0,1,0,1,0,1,0.48
0.84,23000,0,0,0,1,0,1,0,1,0.48
0.54,8600,0,0,0,1,0,1,0,1,0.48
0.51,4000,0,0,0,1,0,1,1,0,0.45
0.95,24000,0,0,0,1,0,1,0,1,0.45
0.826,23000,0,0,0,1,0,1,0,1,0.45
0.99,14500,0,0,0,1,0,1,0,1,0.45
0.95,27000,0,0,0,1,0,1,0,1,0.45
0.54,14000,0,0,0,1,0,1,0,1,0.45
0.54,500,0,0,0,1,0,1,1,0,0.45
0.55,1000,0,0,0,1,0,1,0,1,0.45
0.81,42000,0,0,0,1,0,1,0,1,0.42
0.73,12000,0,0,0,1,0,1,0,1,0.42
0.54,14000,0,0,0,1,0,1,0,1,0.4
0.83,5500,0,0,0,1,0,1,0,1,0.4
0.55,6700,0,0,0,1,0,1,0,1,0.4
0.64,13700,0,0,0,1,0,1,0,1,0.4
0.51,1300,0,0,0,1,0,1,1,0,0.4
0.72,38600,0,0,0,1,0,1,0,1,0.38
0.787,75000,0,0,0,1,0,1,0,1,0.38
1.05,30000,0,0,0,1,0,1,0,1,0.35
0.57,24000,0,0,0,1,0,1,1,0,0.35
0.52,19000,0,0,0,1,0,1,1,0,0.35
1.05,213000,0,0,0,1,0,1,0,1,0.31
0.51,60000,0,0,0,1,0,1,0,1,0.3
0.48,50000,0,0,0,1,0,1,0,1,0.3
0.58,30000,0,0,0,1,0,1,0,1,0.3
0.47,21000,0,0,0,1,0,1,0,1,0.27
0.75,26000,1,0,0,1,0,1,0,1,0.25
0.58,1900,0,0,0,1,0,1,1,0,0.25
0.52,22000,0,0,0,1,0,1,1,0,0.25
0.51,32000,0,0,0,1,0,1,0,1,0.25
0.57,18000,0,0,0,1,0,1,0,1,0.25
0.57,55000,0,0,0,1,0,1,0,1,0.2
0.75,60000,0,0,0,1,0,1,0,1,0.2
0.57,25000,1,0,0,1,0,1,0,1,0.2
0.75,49000,1,0,0,1,0,1,0,1,0.2
0.65,24000,1,0,0,1,0,1,0,1,0.2
0.787,50000,0,0,0,1,0,1,0,1,0.2
0.32,35000,0,0,0,1,0,1,0,1,0.18
0.52,500000,0,0,0,1,0,1,1,0,0.17
0.51,33000,0,0,0,1,0,1,0,1,0.16
0.57,35000,1,0,0,1,0,1,0,1,0.15
0.58,53000,0,0,0,1,0,1,0,1,0.12
0.75,92233,0,0,0,1,0,1,0,1,0.1
6.79,58000,1,0,1,0,1,0,0,1,3.25
5.7,28200,0,0,0,1,1,0,0,1,4.4
4.6,53460,0,0,0,1,1,0,0,1,2.95
4.43,28282,0,0,0,1,1,0,0,1,2.75
5.7,3493,1,0,0,1,1,0,0,1,5.25
7.13,12479,0,0,0,1,1,0,0,1,5.75
5.7,34797,0,0,0,1,1,0,1,0,5.15
8.1,3435,0,0,0,1,1,0,0,1,7.9
5.7,21125,0,0,1,0,1,0,0,1,4.85
4.6,35775,0,0,0,1,1,0,0,1,3.1
14.79,43535,0,0,1,0,1,0,0,1,11.75
13.6,22671,0,0,0,1,1,0,0,1,11.25
6.79,31604,0,0,0,1,1,0,0,1,2.9
5.7,20114,0,0,0,1,1,0,0,1,5.25
9.4,36100,0,0,0,1,1,0,0,1,4.5
4.43,12500,0,0,0,1,1,0,0,1,2.9
4.43,15000,0,0,0,1,1,0,0,1,3.15
9.4,45078,0,0,0,1,1,0,0,1,6.45
9.4,36000,0,0,0,1,1,0,0,1,4.5
4.43,38488,0,0,0,1,1,0,0,1,3.5
6.79,32000,0,0,0,1,1,0,1,0,4.5
7.6,77632,0,0,1,0,1,0,0,1,6
9.4,61381,0,0,1,0,1,0,0,1,8.25
9.4,36198,0,0,0,1,1,0,1,0,5.11
4.6,22517,0,0,0,1,1,0,0,1,2.7
5.7,24678,0,0,0,1,1,0,0,1,5.25
4.43,57000,0,0,0,1,1,0,0,1,2.55
9.4,60000,0,0,1,0,1,0,0,1,4.95
6.79,52132,0,0,1,0,1,0,0,1,3.1
9.4,45000,0,0,1,0,1,0,0,1,6.15
9.4,15001,0,0,0,1,1,0,0,1,9.25
14.79,12900,0,0,0,1,1,0,1,0,11.45
5.7,53000,0,0,1,0,1,0,0,1,3.9
5.7,4492,0,0,0,1,1,0,0,1,5.5
9.4,15141,0,0,0,1,1,0,0,1,9.1
4.43,11849,0,0,0,1,1,0,0,1,3.1
13.6,68000,0,0,1,0,1,0,0,1,11.25
9.4,60241,0,0,0,1,1,0,0,1,4.8
4.43,23709,0,0,0,1,1,0,0,1,2
9.4,32322,0,0,1,0,1,0,0,1,5.35
7.13,35866,1,0,0,1,1,0,0,1,4.75
7.13,34000,0,0,0,1,1,0,0,1,4.4
7.6,7000,0,0,0,1,1,0,0,1,6.25
9.4,49000,0,0,1,0,1,0,0,1,5.95
9.4,71000,0,0,1,0,1,0,0,1,5.2
6.79,35000,0,0,0,1,1,0,0,1,3.75
9.4,36000,0,0,0,1,1,0,0,1,5.95
4.6,30000,0,0,0,1,1,0,0,1,4
7.6,17000,0,0,0,1,1,0,0,1,5.25
13.6,35934,0,0,1,0,1,0,0,1,12.9
9.9,56701,0,0,0,1,1,0,0,1,5
6.82,31427,0,0,0,1,1,0,1,0,5.4
9.9,48000,0,0,1,0,1,0,0,1,7.2
9.9,54242,0,0,0,1,1,0,0,1,5.25
5.35,53675,0,0,0,1,1,0,0,1,3
13.6,49562,0,0,0,1,1,0,0,1,10.25
13.6,40324,0,0,0,1,1,0,0,1,8.5
13.6,25000,0,0,0,1,1,0,0,1,8.4
7,36054,0,0,0,1,1,0,0,1,3.9
13.6,29223,0,0,0,1,1,0,0,1,9.15
5.97,5600,0,0,0,1,1,0,0,1,5.5
5.8,40023,0,0,0,1,1,0,0,1,4
7.7,16002,0,0,0,1,1,0,0,1,6.6
7,40026,0,0,0,1,1,0,0,1,4
8.7,21200,0,0,0,1,1,0,0,1,6.5
7,35000,0,0,0,1,1,0,0,1,3.65
9.4,19434,0,0,1,0,1,0,0,1,8.35
5.8,19000,0,0,0,1,1,0,0,1,4.8
10,18828,0,0,0,1,1,0,0,1,6.7
10,69341,0,0,0,1,1,0,0,1,4.1
10,69562,0,0,0,1,1,0,0,1,3
10,27600,0,0,0,1,1,0,0,1,7.5
7.5,61203,0,0,0,1,1,0,0,1,2.25
6.8,16500,0,0,0,1,1,0,0,1,5.3
13.6,30753,0,0,0,1,1,0,1,0,10.9
13.6,24800,0,0,0,1,1,0,0,1,8.65
13.6,21780,0,0,0,1,1,0,0,1,9.7
8.4,4000,0,0,0,1,1,0,0,1,6
13.6,40126,0,0,0,1,1,0,0,1,6.25
5.9,14465,0,0,0,1,1,0,0,1,5.25
7.6,50456,0,0,0,1,1,0,0,1,2.1
14,63000,0,0,1,0,1,0,0,1,8.25
11.8,9010,0,0,0,1,1,0,0,1,8.99
5.9,9800,0,0,0,1,1,0,0,1,3.5
8.5,15059,0,0,0,1,1,0,1,0,7.4
7.9,28569,0,0,0,1,1,0,0,1,5.65
7.5,44000,0,0,0,1,1,0,1,0,5.75
13.6,34000,0,0,0,1,1,0,0,1,8.4
13.6,10980,0,0,0,1,1,0,0,1,10.11
6.4,19000,0,0,0,1,1,0,0,1,4.5
6.1,31427,0,0,0,1,1,0,0,1,5.4
8.4,12000,0,0,0,1,1,0,0,1,6.4
9.9,38000,0,0,0,1,1,0,0,1,3.25
6.8,33019,0,0,0,1,1,0,0,1,3.75
13.09,60076,0,0,1,0,1,0,0,1,8.55
11.6,33988,0,0,1,0,1,0,0,1,9.5
5.9,60000,0,0,0,1,1,0,0,1,4
11,87934,0,0,0,1,1,0,0,1,3.35
12.5,9000,0,0,1,0,1,0,0,1,11.5
5.9,5464,0,0,0,1,1,0,0,1,5.3
